Code Compte;Libellé Compte;Date écriture;Journal;Numéro de pièce;Libellé écriture;Référence pièce;Lettrage;Type écriture;Débit;Crédit;Solde
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000022;PAIEMENT AVANCE NADAS;;;B;0;95000;-583261,458
5320002T;BANQUE 01643/0 (EXPLOITATION);05/05/2026;BI3;TN01-BI3-26-05-000003;VERSEMENT ESPECE;;;B;2094,558;0;-581166,9
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000023;COM BCAIRE;;;B;0;0,893;-581167,793
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000024;COM BCAIRE;;;B;0;8;-581175,793
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000025;COM BCAIRE;;;B;0;1,52;-581177,313
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000026;COM BCAIRE;;;B;0;1,52;-581178,833
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000027;COM BCAIRE;;;B;0;8;-581186,833
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000028;COM BCAIRE;;;B;0;2,38;-581189,213
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000029;VIREMENT RECU APEESFT;;;B;484,6;0;-580704,613
5320002T;BANQUE 01643/0 (EXPLOITATION);06/05/2026;BI3;TN01-BI3-26-05-000033;ENC CHQ;;;B;3849,649;0;-576854,964
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000034;ENC TRAITE;;;B;400;0;-576454,964
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000035;ENC TRAITE;;;B;500;0;-575954,964
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000036;COM BCAIRE;;;B;0;1,785;-575956,749
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000037;PAIEMENT CTAMA FC 07/2026;;;B;0;43320,39;-619277,139
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000030;COM BCAIRE;;;B;0;2,38;-619279,519
5320002T;BANQUE 01643/0 (EXPLOITATION);07/05/2026;BI3;TN01-BI3-26-05-000031;VIR RECU LA CARTE / COM PCT;;;B;96092,7;0;-523186,819
5320002T;BANQUE 01643/0 (EXPLOITATION);08/05/2026;BI3;TN01-BI3-26-05-000032;VIR RECU LA CARTE / COM TT;;;B;103531,5;0;-419655,319
5320002T;BANQUE 01643/0 (EXPLOITATION);08/05/2026;BI3;TN01-BI3-26-05-000038;COM BCAIRE;;;B;0;8;-419663,319
5320002T;BANQUE 01643/0 (EXPLOITATION);08/05/2026;BI3;TN01-BI3-26-05-000039;COM BCAIRE;;;B;0;1,52;-419664,839
5320002T;BANQUE 01643/0 (EXPLOITATION);08/05/2026;BI3;TN01-BI3-26-05-000040;COM BCAIRE;;;B;0;0,38;-419665,219
5320002T;BANQUE 01643/0 (EXPLOITATION);08/05/2026;BI3;TN01-BI3-26-05-000041;COM BCAIRE;;;B;0;2;-419667,219
5320002T;BANQUE 01643/0 (EXPLOITATION);12/05/2026;BI3;TN01-BI3-26-05-000042;VIREMENT RECU GAT VIE;;;B;2161,429;0;-417505,79
5320002T;BANQUE 01643/0 (EXPLOITATION);12/05/2026;BI3;TN01-BI3-26-05-000043;COM BCAIRE;;;B;0;0,38;-417506,17
5320002T;BANQUE 01643/0 (EXPLOITATION);12/05/2026;BI3;TN01-BI3-26-05-000044;COM BCAIRE;;;B;0;2;-417508,17
5320002T;BANQUE 01643/0 (EXPLOITATION);12/05/2026;BI3;TN01-BI3-26-05-000045;PAIEMENT FT CLIC HARD SECURITY;;;B;0;11121,075;-428629,245
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000046;COM BCAIRE;;;B;0;0,713;-428629,958
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000047;COM BCAIRE;;;B;0;3,75;-428633,708
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000048;COM BCAIRE;;;B;0;2,38;-428636,088
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000049;VIR RECU CTAMA;;;B;1733,043;0;-426903,045
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000050;VIR RECU CTAMA;;;B;17909,993;0;-408993,052
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000051;COM BCAIRE;;;B;0;2,38;-408995,432
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000052;COM BCAIRE;;;B;0;2,38;-408997,812
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000053;VIR RECU CTAMA;;;B;2662,15;0;-406335,662
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000054;COM BCAIRE;;;B;0;8;-406343,662
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000055;COM BCAIRE;;;B;0;1,52;-406345,182
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000056;VIR RECU THA;;;B;851940,076;0;445594,894
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000057;COM BCAIRE;;;B;0;0,38;445594,514
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000058;COM BCAIRE;;;B;0;2;445592,514
5320002T;BANQUE 01643/0 (EXPLOITATION);13/05/2026;BI3;TN01-BI3-26-05-000059;REMBOURSEMENT PRET BIAT;;;B;0;59615,833;385976,681
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000060;COM BCAIRE;;;B;0;0,893;385975,788
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000061;COM BCAIRE;;;B;0;0,893;385974,895
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000062;ENC CHQ;;;B;5357,095;0;391331,99
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000063;ENC CHQ;;;B;738,234;0;392070,224
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000064;COM BCAIRE;;;B;0;1,785;392068,439
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000065;PAIEMENT DIVIDENDES SOUHAIL MANAI;;;B;0;200000;192068,439
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000066;COM BCAIRE;;;B;0;1,785;192066,654
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000067;PAIEMENT FT EL EUCHI FRERES;;;B;0;30000;162066,654
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000068;COM BCAIRE;;;B;0;1,785;162064,869
5320002T;BANQUE 01643/0 (EXPLOITATION);14/05/2026;BI3;TN01-BI3-26-05-000069;PAIEMENT LOYER LA GOULETTE;;;B;0;15000;147064,869
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000070;VERSEMENT ESPECE;;;B;5180;0;152244,869
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000071;COM BCAIRE;;;B;0;2,618;152242,251
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000072;COM BCAIRE;;;B;0;2,38;152239,871
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000073;COM BCAIRE;;;B;0;2,38;152237,491
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000074;VIR RECU LA CARTE;;;B;142463,347;0;294700,838
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000075;COM BCAIRE;;;B;0;0,38;294700,458
5320002T;BANQUE 01643/0 (EXPLOITATION);15/05/2026;BI3;TN01-BI3-26-05-000076;COM BCAIRE;;;B;0;2;294698,458
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000077;COM BCAIRE;;;B;0;1,785;294696,673
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000078;PAIEMENT DIVIDENDES SOUHAIL;;;B;0;70000;224696,673
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000079;COM BCAIRE;;;B;0;1,785;224694,888
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000080;PAIEMENT FT TB MOVENPICK;;;B;0;47701;176993,888
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000081;COM BCAIRE;;;B;0;1,19;176992,698
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000082;PAIEMENT FT SNDP;;;B;0;6720;170272,698
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000083;PAIEMENT FT NS TEX;;;B;0;1414,215;168858,483
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000084;COM BCAIRE;;;B;0;1,785;168856,698
5320002T;BANQUE 01643/0 (EXPLOITATION);18/05/2026;BI3;TN01-BI3-26-05-000085;PAIEMENT HONORAIRES MONGI 05/2026;;;B;0;3637,54;165219,158
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000086;COM BCAIRE;;;B;0;2,38;165216,778
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000087;VIR RECU CTAMA;;;B;33452,55;0;198669,328
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000088;COM BCAIRE;;;B;0;2,38;198666,948
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000089;VIR RECU CTAMA;;;B;42439,16;0;241106,108
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000090;REMISE COM;;;B;20;0;241126,108
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000091;COM BCAIRE;;;B;0;0,3;241125,808
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000092;COM BCAIRE;;;B;0;1,785;241124,023
5320002T;BANQUE 01643/0 (EXPLOITATION);19/05/2026;BI3;TN01-BI3-26-05-000093;PAIEMENT FT LA FIESTA;;;B;0;1930,717;239193,306
5320002T;BANQUE 01643/0 (EXPLOITATION);20/05/2026;BI3;TN01-BI3-26-05-000094;COM BCAIRE;;;B;0;4,165;239189,141
5320002T;BANQUE 01643/0 (EXPLOITATION);20/05/2026;BI3;TN01-BI3-26-05-000095;COM BCAIRE;;;B;0;22,61;239166,531
5320002T;BANQUE 01643/0 (EXPLOITATION);20/05/2026;BI3;TN01-BI3-26-05-000096;PAIEMENT SALAIRE 05/2026;;;B;0;189390;49776,531
5320002T;BANQUE 01643/0 (EXPLOITATION);20/05/2026;BI3;TN01-BI3-26-05-000137;PAIEMENT TRAITE  NADAS;;;B;0;100000;-50223,469
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000097;ENC CHQ;;;B;678;0;-49545,469
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000098;COM BCAIRE;;;B;0;0,893;-49546,362
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000099;REMISE COM;;;B;38,255;0;-49508,107
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000100;COM BCAIRE;;;B;0;0,574;-49508,681
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000101;COM BCAIRE;;;B;0;2,38;-49511,061
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000102;VIR RECU JAMIL MAAMER;;;B;1915,42;0;-47595,641
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000103;VIR RECU BIAT ASSURANCES / COM TRAPSA;;;B;215486,381;0;167890,74
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000104;COM BCAIRE;;;B;0;0,38;167890,36
5320002T;BANQUE 01643/0 (EXPLOITATION);21/05/2026;BI3;TN01-BI3-26-05-000105;COM BCAIRE;;;B;0;2;167888,36
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000106;ENC CHQ;;;B;1165,735;0;169054,095
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000107;COM BCAIRE;;;B;0;0,893;169053,202
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000108;COM BCAIRE;;;B;0;1,045;169052,157
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000109;COM BCAIRE;;;B;0;5,5;169046,657
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000110;COM BCAIRE;;;B;0;0,76;169045,897
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000111;COM BCAIRE;;;B;0;4;169041,897
5320002T;BANQUE 01643/0 (EXPLOITATION);22/05/2026;BI3;TN01-BI3-26-05-000112;COM BCAIRE;;;B;0;1,19;169040,707
5320002T;BANQUE 01643/0 (EXPLOITATION);25/05/2026;BI3;TN01-BI3-26-05-000113;PAIEMENT FT TB LA BADIRA;;;B;0;185342;-16301,293
5320002T;BANQUE 01643/0 (EXPLOITATION);25/05/2026;BI3;TN01-BI3-26-05-000114;PAIEMENT DIVIDENDES SOUHAIL MANAI;;;B;0;100000;-116301,293
5320002T;BANQUE 01643/0 (EXPLOITATION);25/05/2026;BI3;TN01-BI3-26-05-000115;COM BCAIRE;;;B;0;1,785;-116303,078
5320002T;BANQUE 01643/0 (EXPLOITATION);25/05/2026;BI3;TN01-BI3-26-05-000116;PAIEMENT EUCHI FRERES;;;B;0;40000;-156303,078
5320002T;BANQUE 01643/0 (EXPLOITATION);25/05/2026;BI3;TN01-BI3-26-05-000117;PAIEMENT FT TB HOTEL PRESIDENT PUPUT;;;B;0;18762;-175065,078
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000118;ENC CHQ;;;B;300;0;-174765,078
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000119;COM BCAIRE;;;B;0;0,893;-174765,971
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000120;COM BCAIRE;;;B;0;16;-174781,971
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000121;COM BCAIRE;;;B;0;3,04;-174785,011
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000122;VIR RECU LA CARTE / COM MALADIE OMMP;;;B;101061,7;0;-73723,311
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000123;COM BCAIRE;;;B;0;0,38;-73723,691
5320002T;BANQUE 01643/0 (EXPLOITATION);26/05/2026;BI3;TN01-BI3-26-05-000124;COM BCAIRE;;;B;0;2;-73725,691
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000125;COM BCAIRE;;;B;0;0,57;-73726,261
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000126;COM BCAIRE;;;B;0;3;-73729,261
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000127;COM BCAIRE;;;B;0;0,38;-73729,641
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000128;COM BCAIRE;;;B;0;2;-73731,641
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000129;COM BCAIRE;;;B;0;0,19;-73731,831
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000130;COM BCAIRE;;;B;0;1;-73732,831
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000131;ENC TRAITE;;;B;750;0;-72982,831
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000132;ENC TRAITE;;;B;2454,272;0;-70528,559
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000133;COM BCAIRE;;;B;0;4,165;-70532,724
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000134;REGLEMENT PAR CARTE;;;B;0;59,533;-70592,257
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000135;COM BCAIRE;;;B;0;1,9;-70594,157
5320002T;BANQUE 01643/0 (EXPLOITATION);29/05/2026;BI3;TN01-BI3-26-05-000136;COM BCAIRE;;;B;0;10;-70604,157
